roi,subject,model,corr_type,r
Dorsal_Stream_Visual,sub-15,Gist,full,-0.025601190491299376
Dorsal_Stream_Visual,sub-16,Gist,full,0.06673389505231483
Dorsal_Stream_Visual,sub-17,Gist,full,-0.0353500910203246
Dorsal_Stream_Visual,sub-18,Gist,full,0.07660388412766059
Dorsal_Stream_Visual,sub-19,Gist,full,0.10206612165151861
Dorsal_Stream_Visual,sub-20,Gist,full,-0.016109480768799103
Dorsal_Stream_Visual,sub-01,Gist,semipartial,-0.03031388367758553
Dorsal_Stream_Visual,sub-02,Gist,semipartial,0.11955653093756714
Dorsal_Stream_Visual,sub-03,Gist,semipartial,-0.07116840084653425
Dorsal_Stream_Visual,sub-04,Gist,semipartial,0.07206200751482052
Dorsal_Stream_Visual,sub-05,Gist,semipartial,0.044109607124948685
Dorsal_Stream_Visual,sub-06,Gist,semipartial,-0.0744781466600697
Dorsal_Stream_Visual,sub-07,Gist,semipartial,-0.004599858233834055
Dorsal_Stream_Visual,sub-08,Gist,semipartial,-0.054710958943618625
Dorsal_Stream_Visual,sub-09,Gist,semipartial,0.001218724416328342
Dorsal_Stream_Visual,sub-10,Gist,semipartial,-0.03702898361507808
Dorsal_Stream_Visual,sub-11,Gist,semipartial,-0.07704386007366154
Dorsal_Stream_Visual,sub-12,Gist,semipartial,0.05966091509503549
Dorsal_Stream_Visual,sub-13,Gist,semipartial,-0.0835294817067559
Dorsal_Stream_Visual,sub-14,Gist,semipartial,0.027276771998797644
Dorsal_Stream_Visual,sub-15,Gist,semipartial,-0.024895336109682756
Dorsal_Stream_Visual,sub-16,Gist,semipartial,0.06854903441126557
Dorsal_Stream_Visual,sub-17,Gist,semipartial,-0.034027945548925534
Dorsal_Stream_Visual,sub-18,Gist,semipartial,0.07915898289288588
Dorsal_Stream_Visual,sub-19,Gist,semipartial,0.10540460889909316
Dorsal_Stream_Visual,sub-20,Gist,semipartial,-0.014707281483304125
Ventral_Stream_Visual,sub-01,Animacy,full,0.28805392928566864
Ventral_Stream_Visual,sub-02,Animacy,full,0.28005298581008775
Ventral_Stream_Visual,sub-03,Animacy,full,0.2526821045601945
Ventral_Stream_Visual,sub-04,Animacy,full,0.2752527074017522
Ventral_Stream_Visual,sub-05,Animacy,full,0.27722584199551814
Ventral_Stream_Visual,sub-06,Animacy,full,0.20817725842649276
Ventral_Stream_Visual,sub-07,Animacy,full,0.10698444715177627
Ventral_Stream_Visual,sub-08,Animacy,full,0.30463640102619555
Ventral_Stream_Visual,sub-09,Animacy,full,0.17292913527170534
Ventral_Stream_Visual,sub-10,Animacy,full,0.17139186791239924
Ventral_Stream_Visual,sub-11,Animacy,full,0.19398875076938402
Ventral_Stream_Visual,sub-12,Animacy,full,0.24734040067596955
Ventral_Stream_Visual,sub-13,Animacy,full,0.20774023141788794
Ventral_Stream_Visual,sub-14,Animacy,full,0.208305958984848
Ventral_Stream_Visual,sub-15,Animacy,full,0.3589284607513254
Ventral_Stream_Visual,sub-16,Animacy,full,0.13505313128267807
Ventral_Stream_Visual,sub-17,Animacy,full,0.16575580203156076
Ventral_Stream_Visual,sub-18,Animacy,full,0.13328844906035575
Ventral_Stream_Visual,sub-19,Animacy,full,0.20162534465052834
Ventral_Stream_Visual,sub-20,Animacy,full,0.30666544735743045
Ventral_Stream_Visual,sub-01,Animacy,semipartial,0.24153569013282983
Ventral_Stream_Visual,sub-02,Animacy,semipartial,0.241269315301497
Ventral_Stream_Visual,sub-03,Animacy,semipartial,0.2065609620292813
Ventral_Stream_Visual,sub-04,Animacy,semipartial,0.23550324948465023
Ventral_Stream_Visual,sub-05,Animacy,semipartial,0.2504306033547273
Ventral_Stream_Visual,sub-06,Animacy,semipartial,0.15402261469436554
Ventral_Stream_Visual,sub-07,Animacy,semipartial,0.09165109568620586
Ventral_Stream_Visual,sub-08,Animacy,semipartial,0.25256954047066993
Ventral_Stream_Visual,sub-09,Animacy,semipartial,0.13305745604907693
Ventral_Stream_Visual,sub-10,Animacy,semipartial,0.13806218116847158
Ventral_Stream_Visual,sub-11,Animacy,semipartial,0.16720002767086828
Ventral_Stream_Visual,sub-12,Animacy,semipartial,0.20295535117625355
Ventral_Stream_Visual,sub-13,Animacy,semipartial,0.19002289577601916
Ventral_Stream_Visual,sub-14,Animacy,semipartial,0.1699389709573657
Ventral_Stream_Visual,sub-15,Animacy,semipartial,0.3454483223228058
Ventral_Stream_Visual,sub-16,Animacy,semipartial,0.10731364995290392
Ventral_Stream_Visual,sub-17,Animacy,semipartial,0.1332573670825659
Ventral_Stream_Visual,sub-18,Animacy,semipartial,0.11994320116405467
Ventral_Stream_Visual,sub-19,Animacy,semipartial,0.1637030689349005
Ventral_Stream_Visual,sub-20,Animacy,semipartial,0.2890404566826758
Ventral_Stream_Visual,sub-01,Category,full,0.18432501687694336
Ventral_Stream_Visual,sub-02,Category,full,0.161238719801569
Ventral_Stream_Visual,sub-03,Category,full,0.17679830472024988
Ventral_Stream_Visual,sub-04,Category,full,0.1627098898385922
Ventral_Stream_Visual,sub-05,Category,full,0.12450528883742913
Ventral_Stream_Visual,sub-06,Category,full,0.19243915686402316
Ventral_Stream_Visual,sub-07,Category,full,0.06294340838398035
Ventral_Stream_Visual,sub-08,Category,full,0.20229303059399262
Ventral_Stream_Visual,sub-09,Category,full,0.14670584008372078
Ventral_Stream_Visual,sub-10,Category,full,0.12674729161501372
Ventral_Stream_Visual,sub-11,Category,full,0.11134357162452653
Ventral_Stream_Visual,sub-12,Category,full,0.17075295405804394
Ventral_Stream_Visual,sub-13,Category,full,0.08705074991490971
Ventral_Stream_Visual,sub-14,Category,full,0.14770371621381959
Ventral_Stream_Visual,sub-15,Category,full,0.10039567752596
Ventral_Stream_Visual,sub-16,Category,full,0.10360788140959101
Ventral_Stream_Visual,sub-17,Category,full,0.12293272664342939
Ventral_Stream_Visual,sub-18,Category,full,0.060830889212685424
Ventral_Stream_Visual,sub-19,Category,full,0.14514499449075285
Ventral_Stream_Visual,sub-20,Category,full,0.10340961019607418
Ventral_Stream_Visual,sub-01,Category,semipartial,0.09831404655023851
Ventral_Stream_Visual,sub-02,Category,semipartial,0.07863123686795437
Ventral_Stream_Visual,sub-03,Category,semipartial,0.10129118450413216
Ventral_Stream_Visual,sub-04,Category,semipartial,0.08040780322088263
Ventral_Stream_Visual,sub-05,Category,semipartial,0.03700024724281497
Ventral_Stream_Visual,sub-06,Category,semipartial,0.13239660532112793
Ventral_Stream_Visual,sub-07,Category,semipartial,0.031044609438187556
Ventral_Stream_Visual,sub-08,Category,semipartial,0.10910528843085135
Ventral_Stream_Visual,sub-09,Category,semipartial,0.10067087021399485
Ventral_Stream_Visual,sub-10,Category,semipartial,0.07827213175429505
Ventral_Stream_Visual,sub-11,Category,semipartial,0.05377432839011996
Ventral_Stream_Visual,sub-12,Category,semipartial,0.09645528533516824
Ventral_Stream_Visual,sub-13,Category,semipartial,0.0227761476198462
Ventral_Stream_Visual,sub-14,Category,semipartial,0.08811125407337474
Ventral_Stream_Visual,sub-15,Category,semipartial,-0.0140629828300667
